time_days,separation_u,magnification,flux,delta_magnitude
0.01892996937,0.3348649687,3.110414051,3.110414051,-1.232045513
0.01990073703,0.3498794513,2.987693969,2.987693969,-1.188340276
0.02087150469,0.3649805034,2.874883997,2.874883997,-1.146550813
0.02184227235,0.3801578085,2.770952362,2.770952362,-1.106572649
0.02281304001,0.395402586,2.674993175,2.674993175,-1.068306696
0.02378380767,0.4107073227,2.58621022,2.58621022,-1.031659559
0.02475457533,0.4260655571,2.503902578,2.503902578,-0.9965435683
0.02572534299,0.4414717059,2.427452041,2.427452041,-0.9628766459
0.02669611065,0.4569209225,2.356312187,2.356312187,-0.9305820736
0.02766687831,0.4724089816,2.289998937,2.289998937,-0.899588202
0.02863764597,0.4879321844,2.228082429,2.228082429,-0.8698281345
0.02960841363,0.5034872802,2.170180023,2.170180023,-0.8412394035
0.03057918129,0.519071402,2.115950287,2.115950287,-0.8137636501
0.03154994895,0.5346820115,2.06508783,2.06508783,-0.7873463181
0.03252071661,0.5503168549,2.017318842,2.017318842,-0.7619363624
0.03349148426,0.5659739236,1.972397262,1.972397262,-0.7374859773
0.03446225192,0.581651423,1.930101454,1.930101454,-0.7139503445
0.03543301958,0.5973477443,1.890231342,1.890231342,-0.6912873996
0.03640378724,0.6130614419,1.85260592,1.85260592,-0.6694576187
0.0373745549,0.6287912131,1.817061091,1.817061091,-0.6484238219
0.03834532256,0.644535881,1.783447781,1.783447781,-0.6281509943
0.03931609022,0.66029438,1.751630299,1.751630299,-0.608606122
0.04028685788,0.676065743,1.721484898,1.721484898,-0.589758043
0.04125762554,0.6918490902,1.692898516,1.692898516,-0.5715773105
0.0422283932,0.7076436197,1.665767665,1.665767665,-0.554036069
0.04319916086,0.7234485991,1.639997463,1.639997463,-0.5371079404
0.04416992852,0.7392633582,1.615500766,1.615500766,-0.5207679206
0.04514069618,0.7550872825,1.592197413,1.592197413,-0.5049922848
0.04611146384,0.7709198076,1.570013549,1.570013549,-0.4897585011
0.0470822315,0.7867604142,1.548881029,1.548881029,-0.4750451512
0.04805299916,0.802608624,1.528736881,1.528736881,-0.4608318576
0.04902376682,0.8184639951,1.509522835,1.509522835,-0.4470992178
0.04999453448,0.8343261194,1.491184899,1.491184899,-0.4338287422
0.05096530214,0.8501946188,1.473672976,1.473672976,-0.4210027989
0.0519360698,0.8660691429,1.456940529,1.456940529,-0.4086045612
0.05290683746,0.8819493665,1.44094427,1.44094427,-0.3966179608
0.05387760512,0.897834987,1.42564389,1.42564389,-0.3850276428
0.05484837278,0.913725723,1.411001809,1.411001809,-0.3738189261
0.05581914044,0.9296213121,1.396982951,1.396982951,-0.3629777651
0.0567899081,0.9455215097,1.383554547,1.383554547,-0.3524907149
0.05776067576,0.961426087,1.370685946,1.370685946,-0.3423448996
0.05873144342,0.9773348302,1.358348453,1.358348453,-0.3325279813
0.05970221108,0.9932475392,1.346515178,1.346515178,-0.3230281329
0.06067297874,1.009164026,1.335160897,1.335160897,-0.3138340117
0.0616437464,1.025084116,1.32426193,1.32426193,-0.3049347349
0.06261451406,1.041007642,1.313796023,1.313796023,-0.2963198576
