time_days,separation_u,magnification,flux,delta_magnitude
-0.02706605935,0.4628188795,2.330496197,2.330496197,-0.9186209966
-0.02567805631,0.4407202286,2.431048785,2.431048785,-0.9644841853
-0.02429005327,0.418710185,2.542520609,2.542520609,-1.013161205
-0.02290205022,0.3968034938,2.666565057,2.666565057,-1.064880459
-0.02151404718,0.3750182673,2.8051577,2.8051577,-1.119893203
-0.02012604413,0.3533769707,2.960668549,2.960668549,-1.178474476
-0.01873804109,0.3319077591,3.135949348,3.135949348,-1.240922598
-0.01735003805,0.3106463136,3.334435779,3.334435779,-1.307555893
-0.015962035,0.2896383923,3.56025993,3.56025993,-1.378704266
-0.01457403196,0.268943412,3.818357691,3.818357691,-1.454691523
-0.01318602892,0.2486395261,4.114532485,4.114532485,-1.535801239
-0.01179802587,0.2288308622,4.455387662,4.455387662,-1.622213745
-0.01041002283,0.2096578345,4.847940719,4.847940719,-1.713893252
-0.009022019784,0.1913116466,5.298543389,5.298543389,-1.810391238
-0.007634016741,0.1740539548,5.810410235,5.810410235,-1.91051699
-0.006246013697,0.1582412927,6.378649412,6.378649412,-2.011821832
-0.004858010653,0.1443493289,6.981652652,6.981652652,-2.109895595
-0.003470007609,0.132981372,7.569626663,7.569626663,-2.197686151
-0.002082004566,0.1248289081,8.057699954,8.057699954,-2.265527729
-0.0006940015219,0.1205460983,8.340718177,8.340718177,-2.303008618
0.0006940015219,0.1205460983,8.340718177,8.340718177,-2.303008618
0.002082004566,0.1248289081,8.057699954,8.057699954,-2.265527729
0.003470007609,0.132981372,7.569626663,7.569626663,-2.197686151
0.004858010653,0.1443493289,6.981652652,6.981652652,-2.109895595
0.006246013697,0.1582412927,6.378649412,6.378649412,-2.011821832
0.007634016741,0.1740539548,5.810410235,5.810410235,-1.91051699
0.009022019784,0.1913116466,5.298543389,5.298543389,-1.810391238
0.01041002283,0.2096578345,4.847940719,4.847940719,-1.713893252
0.01179802587,0.2288308622,4.455387662,4.455387662,-1.622213745
0.01318602892,0.2486395261,4.114532485,4.114532485,-1.535801239
0.01457403196,0.268943412,3.818357691,3.818357691,-1.454691523
0.015962035,0.2896383923,3.56025993,3.56025993,-1.378704266
0.01735003805,0.3106463136,3.334435779,3.334435779,-1.307555893
0.01873804109,0.3319077591,3.135949348,3.135949348,-1.240922598
0.02012604413,0.3533769707,2.960668549,2.960668549,-1.178474476
0.02151404718,0.3750182673,2.8051577,2.8051577,-1.119893203
0.02290205022,0.3968034938,2.666565057,2.666565057,-1.064880459
0.02429005327,0.418710185,2.542520609,2.542520609,-1.013161205
0.02567805631,0.4407202286,2.431048785,2.431048785,-0.9644841853
0.02706605935,0.4628188795,2.330496197,2.330496197,-0.9186209966
0.0284540624,0.4849940258,2.239472762,2.239472762,-0.8753644615
0.02984206544,0.507235635,2.156804095,2.156804095,-0.8345267486
0.03123006848,0.5295353324,2.081493136,2.081493136,-0.7959374575
0.03261807153,0.5518860766,2.012689202,2.012689202,-0.7594417916
0.03400607457,0.5742819076,1.949662996,1.949662996,-0.7248988725
0.03539407762,0.5967177487,1.891786349,1.891786349,-0.6921802183
0.03678208066,0.6191892509,1.838515752,1.838515752,-0.6611683878
0.0381700837,0.6416926677,1.789378901,1.789378901,-0.6317557805
0.03955808675,0.6642247553,1.743963664,1.743963664,-0.60384358
0.04094608979,0.6867826918,1.701908984,1.701908984,-0.5773408274
0.04233409283,0.7093640113,1.662897356,1.662897356,-0.5521636071
0.04372209588,0.7319665496,1.626648562,1.626648562,-0.5282343337
0.04511009892,0.7545884001,1.592914444,1.592914444,-0.5054811258
0.04649810197,0.7772278763,1.561474521,1.561474521,-0.4838372551
0.04788610501,0.7998834818,1.532132288,1.532132288,-0.4632406625
0.04927410805,0.8225538837,1.504712096,1.504712096,-0.4436335301
0.0506621111,0.8452378916,1.47905649,1.47905649,-0.4249619037
0.05205011414,0.8679344385,1.455023953,1.455023953,-0.4071753574
0.05343811718,0.8906425659,1.432486964,1.432486964,-0.3902266963
0.05482612023,0.9133614101,1.411330335,1.411330335,-0.3740716909
0.05621412327,0.9360901907,1.391449779,1.391449779,-0.3586688404
0.05760212632,0.9588282011,1.372750669,1.372750669,-0.3439791603
0.05899012936,0.9815748,1.355146964,1.355146964,-0.3299659913
0.0603781324,1.004329404,1.338560272,1.338560272,-0.3165948279
0.06176613545,1.02709148,1.322919034,1.322919034,-0.3038331624
0.06315413849,1.049860544,1.308157809,1.308157809,-0.2916503448
0.06454214153,1.072636149,1.294216647,1.294216647,-0.2800174543
0.06593014458,1.095417888,1.281040539,1.281040539,-0.2689071831
0.06731814762,1.118205386,1.268578925,1.268578925,-0.25829373
0.06870615067,1.140998297,1.256785267,1.256785267,-0.2481527026
0.07009415371,1.163796305,1.245616669,1.245616669,-0.2384610283
0.07148215675,1.186599114,1.23503353,1.23503353,-0.2291968714
0.0728701598,1.209406454,1.224999251,1.224999251,-0.2203395577
0.07425816284,1.232218073,1.215479957,1.215479957,-0.2118695043
0.07564616588,1.255033737,1.206444261,1.206444261,-0.2037681543
0.07703416893,1.277853231,1.197863045,1.197863045,-0.1960179169
0.07842217197,1.300676351,1.189709267,1.189709267,-0.1886021112
0.07981017502,1.323502912,1.181957786,1.181957786,-0.1815049143
0.08119817806,1.346332736,1.174585202,1.174585202,-0.1747113125
0.0825861811,1.369165663,1.167569717,1.167569717,-0.168207056
0.08397418415,1.392001538,1.160891006,1.160891006,-0.1619786165
0.08536218719,1.414840219,1.154530097,1.154530097,-0.1560131474
0.08675019023,1.437681573,1.148469269,1.148469269,-0.1502984468
0.08813819328,1.460525473,1.142691953,1.142691953,-0.1448229222
0.08952619632,1.483371803,1.137182645,1.137182645,-0.1395755582
0.09091419937,1.506220451,1.13192683,1.13192683,-0.1345458851
0.09230220241,1.529071314,1.126910901,1.126910901,-0.1297239504
0.09369020545,1.551924294,1.122122102,1.122122102,-0.1251002914
0.0950782085,1.574779299,1.117548458,1.117548458,-0.120665909
0.09646621154,1.597636241,1.113178725,1.113178725,-0.1164122441
0.09785421458,1.62049504,1.109002338,1.109002338,-0.1123311543
0.09924221763,1.643355617,1.105009361,1.105009361,-0.1084148924
0.1006302207,1.666217899,1.101190445,1.101190445,-0.1046560861
0.1020182237,1.689081817,1.097536791,1.097536791,-0.1010477187
0.1034062268,1.711947305,1.094040109,1.094040109,-0.09758311065
0.1047942298,1.734814302,1.090692586,1.090692586,-0.09425590275
0.1061822328,1.757682749,1.087486854,1.087486854,-0.09106003952
0.1075702359,1.780552589,1.084415962,1.084415962,-0.08798975395
0.1089582389,1.803423769,1.081473348,1.081473348,-0.08503955288
0.110346242,1.82629624,1.078652815,1.078652815,-0.08220420322
0.111734245,1.849169953,1.075948508,1.075948508,-0.07947871886
0.1131222481,1.872044863,1.07335489,1.07335489,-0.07685834828
0.1145102511,1.894920926,1.070866728,1.070866728,-0.07433856288
0.1158982542,1.917798102,1.068479067,1.068479067,-0.0719150458
0.1172862572,1.940676351,1.06618722,1.06618722,-0.06958368144
0.1186742602,1.963555634,1.063986746,1.063986746,-0.06734054548
0.1200622633,1.986435918,1.06187344,1.06187344,-0.06518189539
0.1214502663,2.009317167,1.059843314,1.059843314,-0.06310416149
0.1228382694,2.032199348,1.057892591,1.057892591,-0.06110393844
0.1242262724,2.055082432,1.056017684,1.056017684,-0.05917797719
0.1256142755,2.077966387,1.054215193,1.054215193,-0.05732317729
0.1270022785,2.100851186,1.05248189,1.05248189,-0.05553657968
0.1283902815,2.123736801,1.05081471,1.05081471,-0.05381535976
0.1297782846,2.146623205,1.049210742,1.049210742,-0.05215682091
0.1311662876,2.169510375,1.047667219,1.047667219,-0.05055838824
